CANONICAL_SMILES,INCHIKEY,pChEMBL mean,pChEMBL std,Molecule Name,Compound Key,appears_in_N_ChEMBL_assays
C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,CDMGBJANTYXAIV-UHFFFAOYSA-N,6.1000000000000005,0.21908902300206626,SB-203580,SID11113952,6
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,DCOPUUMXTXDBNB-UHFFFAOYSA-N,5.033333333333333,0.05163977794943207,DICLOFENAC SODIUM,SID26747983,6
Cc1cc2c(nc1C)CCCN2C[C@H](O)CN1CCCc2nc(-c3ccc(Br)cc3)ccc21,ZBPBGOGMCJVPTD-JOCHJYFZSA-N,5.3,0.10954451150103332,,SID26751128,6
COc1ccccc1N1CCN(CCCCN2C(=O)c3ccccc3C2=O)CC1,SJDOMIRMMUGQQK-UHFFFAOYSA-N,5.1499999999999995,0.7120393247567157,NAN-190,SID11111535,6
c1ccc2c(c1)[I+]c1ccccc1-2,QFXKXRXFBRLLPQ-UHFFFAOYSA-N,5.5,0.0,DIPHENYLENEIODONIUM,SID11111058,6
OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,IZEKFCXSFNUWAM-UHFFFAOYSA-N,5.0,0.0,DIPYRIDAMOLE,SID11113358,6
Cc1ccc(S(=O)(=O)OCC2CN3C(CCC(C)C3c3ccc(Br)cc3)C(=O)O2)cc1,ZYDDNRNLNLHSNQ-UHFFFAOYSA-N,5.466666666666666,0.051639777949432156,,SID26752350,6
CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O,XWXYUMMDTVBTOU-UHFFFAOYSA-N,5.066666666666667,0.4082482904638632,NILUTAMIDE,SID11114201,6
OCCN1CCN(CC/C=C2\c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,NJMYODHXAKYRHW-BLLMUTORSA-N,5.0,0.10954451150103284,E-FLUPENTIXOL,SID11111165,6
O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,CZQHHVNHHHRRDU-UHFFFAOYSA-N,5.1499999999999995,0.16431676725154964,LY-294002,SID11113937,6
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,LEZWWPYKPKIXLL-UHFFFAOYSA-N,6.811666666666667,0.4634831891953218,ECONAZOLE NITRATE,SID17389020,6
O=C(OCCN1CCOCC1)C1(c2ccccc2)CCCCC1,RQHKZUBCUZVZEF-UHFFFAOYSA-N,5.6499999999999995,0.16431676725154964,,SID11113583,6
CO[C@@]12C[C@@H](COC(=O)c3cncc(Br)c3)CN(C)[C@H]1Cc1cn(C)c3cccc2c13,YSEXMKHXIOCEJA-OECQAKIHSA-N,5.25,0.05477225575051642,,SID11112912,6
COc1cccc(OC)c1OCCNC[C@@H]1COc2ccccc2O1,GYSZUJHYXCZAKI-CQSZACIVSA-N,5.6499999999999995,0.05477225575051702,,SID11113809,6
CCc1cc2c(nc1CC)CCN(CC/C(C)=N/O[C@@H](C)c1cn([C@H](CO)Cc3ccccc3)nn1)C2,CAFYHHWCSWPDKI-ZBTFFADFSA-N,5.45,0.05477225575051642,,SID26751050,6
COc1ccc2c(c1OC)C(=O)O[C@H]2[C@H]1c2c(cc3c(c2OC)OCO3)CCN1C,AKNNEGZIBPJZJG-QZTJIDSGSA-N,5.599999999999999,0.0,,SID11111560,6
CC(C)[C@@H](OCc1ccccc1)[C@H](C)/C=N\O[C@@H](C)c1cn([C@H](CO)Cc2ccccc2)nn1,DBEDSIZKWMXGQI-JPTOOQBJSA-N,5.45,0.05477225575051642,,SID26751036,6
CO[C@H]1COC(=O)C/C=C\[C@H](C)[C@H](OC)COC(=O)C(C)COC(=O)C/C=C\[C@@H]1C,KBHPPKYRDDJVFM-DZNQAWSASA-N,5.3500000000000005,0.054772255750516814,,SID26750785,6
