CANONICAL_SMILES,INCHIKEY,common_name,appears_in_N_ds
COC(=O)[C@@]1(Cc2ccc(OC)cc2)[C@H]2c3cc(C(=O)N4CCCC4)n(Cc4cc(F)cc5c4OCOC5)c3C[C@H]2CN1C(=O)c1ccccc1,UATPTRKWMFZYHE-QGHDBFBESA-N,,2
COC(=O)[C@@]1(Cc2ccccc2)[C@H]2c3cc(C(=O)N4CCCC4)n(Cc4ccsc4Br)c3C[C@H]2CN1C(=O)c1ccccc1,GFIUPDJLOXKAOU-ZOBZBXOOSA-N,,2
COC(=O)[C@@]1(Cc2ccccc2)[C@H]2c3cc(C(=O)N(C)C)n(Cc4ccccc4)c3C[C@H]2CN1C(=O)c1ccccc1,VPTIJSFMWFCPFI-NNRCMAHHSA-N,,2
CC(C)[C@@]1(NC(=O)C2C[C@H]3c4cccc5[nH]cc(c45)C[C@@H]3N(C)C2)O[C@@]2(O)[C@H]3CCCN3C(=O)C(Cc3ccccc3)N2C1=O,DEQITUUQPICUMR-LBQNKEKUSA-N,,2
COC(=O)[C@@]1(Cc2ccc(OC)cc2)[C@H]2c3cc(C(=O)N4CCCC4)n(CCc4c[nH]c5ccc(O)cc45)c3C[C@H]2CN1C(=O)c1ccccc1,KBGODNRRRTZUEZ-JZIVADLGSA-N,,2
COC(=O)[C@@]1(Cc2ccc(OC)cc2)[C@H]2c3cc(C(=O)N4CCCC4)n(CCN4CCOCC4)c3C[C@H]2CN1C(=O)c1ccccc1,UZQLNPYFCMTPIG-OXSWOZIASA-N,,2
COc1ccc(Oc2ncc3nc(-c4cccs4)c(=O)n(Cc4cccc(OC)c4)c3n2)cc1,VFAMUMKJJOIOHR-UHFFFAOYSA-N,,2
COC(=O)c1c(-c2cc(OC)c(OC)c(OC)c2)c2ccc(OCc3ccccn3)cc2c(=O)n1-c1ccc(N)cc1,ORZROTLRYOYVPB-UHFFFAOYSA-N,,2
COC(=O)[C@@]1(Cc2ccccc2)[C@H]2c3cc(C(=O)N4CCCC4)n(Cc4ccccn4)c3C[C@H]2CN1C(=O)c1ccccc1,QVGAGMJUDHOGFI-RZLLJLAESA-N,,2
COC(=O)[C@@]1(Cc2ccc(OC)cc2)[C@H]2c3cc(C(=O)N4CCCC4)n(Cc4ccc(C)o4)c3C[C@H]2CN1C(=O)c1ccccc1,ZRPAIQGBVCHIQE-BZZCMJIQSA-N,,2
